,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
91,9984.0,11520.0,15360.0,3760.0,6208.0,15794176.0,564.0,888.0,3280.0,1848.0,6208.0,12255232.0,6240.0,3392.0,5472.0,6304.0,8096.0,3063808.0
92,10176.0,11904.0,15552.0,3888.0,6304.0,15990784.0,576.0,912.0,3344.0,1864.0,6272.0,12386304.0,6304.0,3408.0,5568.0,6304.0,8160.0,3096576.0
93,10112.0,11968.0,15744.0,3872.0,6336.0,16187392.0,580.0,908.0,3360.0,1896.0,6272.0,12517376.0,6368.0,3456.0,5664.0,6464.0,8320.0,3129344.0
94,10048.0,12032.0,15808.0,3872.0,6368.0,16384000.0,584.0,904.0,3360.0,1928.0,6272.0,12648448.0,6464.0,3488.0,5760.0,6656.0,8448.0,3162112.0
95,10112.0,12160.0,16000.0,3904.0,6464.0,16515072.0,588.0,916.0,3408.0,1960.0,6336.0,12779520.0,6528.0,3504.0,5792.0,6720.0,8512.0,3194880.0
96,10304.0,12352.0,16192.0,3968.0,6560.0,16711680.0,592.0,928.0,3424.0,1976.0,6432.0,12910592.0,6592.0,3536.0,5920.0,6720.0,8576.0,3227648.0
97,10304.0,12416.0,16320.0,3952.0,6592.0,16908288.0,596.0,924.0,3440.0,2016.0,6432.0,13041664.0,6656.0,3584.0,5984.0,6880.0,8704.0,3260416.0
98,10496.0,12608.0,16512.0,3968.0,6688.0,17039360.0,608.0,936.0,3520.0,2040.0,6528.0,13172736.0,6688.0,3616.0,6016.0,6976.0,8768.0,3293184.0
99,10560.0,12800.0,16640.0,4000.0,6784.0,17170432.0,616.0,956.0,3568.0,2064.0,6624.0,13303808.0,6720.0,3632.0,6048.0,7040.0,8832.0,3325952.0
100,10496.0,12864.0,16768.0,4032.0,6816.0,17301504.0,620.0,952.0,3568.0,2096.0,6624.0,13434880.0,6816.0,3680.0,6112.0,7200.0,8960.0,3358720.0
101,10496.0,12928.0,16896.0,4064.0,6848.0,17432576.0,624.0,944.0,3584.0,2128.0,6624.0,13565952.0,6912.0,3760.0,6208.0,7360.0,9088.0,3391488.0
102,10560.0,12992.0,17024.0,4096.0,6880.0,17563648.0,628.0,940.0,3600.0,2160.0,6624.0,13697024.0,6976.0,3824.0,6272.0,7552.0,9216.0,3424256.0
103,10688.0,13184.0,17152.0,4128.0,7040.0,17694720.0,624.0,936.0,3584.0,2144.0,6688.0,13828096.0,7040.0,3840.0,6304.0,7552.0,9344.0,3457024.0
104,10816.0,13376.0,17408.0,4160.0,7104.0,17825792.0,620.0,936.0,3552.0,2144.0,6720.0,13959168.0,7072.0,3856.0,6336.0,7520.0,9472.0,3489792.0
105,10880.0,13504.0,17664.0,4224.0,7232.0,17956864.0,628.0,948.0,3600.0,2160.0,6784.0,14090240.0,7168.0,3872.0,6368.0,7520.0,9472.0,3522560.0
106,11008.0,13760.0,17920.0,4256.0,7264.0,18087936.0,636.0,964.0,3648.0,2160.0,6848.0,14221312.0,7232.0,3888.0,6368.0,7552.0,9536.0,3555328.0
107,10944.0,13824.0,18048.0,4288.0,7264.0,18219008.0,628.0,964.0,3600.0,2160.0,6880.0,14352384.0,7392.0,3904.0,6432.0,7552.0,9536.0,3588096.0
108,11136.0,13888.0,18176.0,4288.0,7296.0,18350080.0,632.0,964.0,3616.0,2192.0,6880.0,14483456.0,7488.0,3952.0,6528.0,7712.0,9664.0,3620864.0
109,11264.0,14080.0,18432.0,4384.0,7360.0,18481152.0,636.0,976.0,3632.0,2208.0,6976.0,14614528.0,7552.0,3968.0,6624.0,7712.0,9792.0,3653632.0
110,11328.0,14208.0,18560.0,4448.0,7424.0,18612224.0,644.0,992.0,3664.0,2208.0,7040.0,14745600.0,7616.0,3968.0,6656.0,7744.0,9920.0,3686400.0
111,11392.0,14400.0,18688.0,4512.0,7488.0,18743296.0,648.0,1008.0,3712.0,2224.0,7104.0,14876672.0,7648.0,4000.0,6656.0,7840.0,10048.0,3719168.0
112,11456.0,14464.0,18816.0,4576.0,7584.0,18874368.0,656.0,1012.0,3776.0,2240.0,7200.0,15007744.0,7744.0,4096.0,6656.0,7936.0,10112.0,3751936.0
113,11584.0,14464.0,18944.0,4576.0,7616.0,19005440.0,664.0,1012.0,3808.0,2272.0,7200.0,15138816.0,7808.0,4160.0,6752.0,8096.0,10240.0,3784704.0
