,beta
0,0.4485582411289215
1,0.4289645850658417
2,0.43429332971572876
3,0.46563032269477844
4,0.46172741055488586
5,0.4727746844291687
6,0.46316683292388916
7,0.4633740782737732
8,0.48724496364593506
9,0.45017901062965393
10,0.45135733485221863
11,0.48708248138427734
12,0.4953104555606842
13,0.4486957788467407
14,0.46274667978286743
15,0.4907788932323456
16,0.4441172480583191
17,0.4785318076610565
